Code,Index,IsTurnedOn,Name,LongName,NumCohorts,NumGeneTypes,NumStages,NumSpawns,NumAgeClassSize,NumStocks,VerticallyMigrates,HorizontallyMigrates,IsFished,IsImpacted,IsTAC,GroupType,IsPredator,IsCover,IsSiliconDep,IsAssessed,IsCatchGrazer,OverWinters,isCultured,isHabDepend,numMoveEntries,isSupplemented
ASQ,0,1,Arrow_squid,Arrow squids,2,1,2,1,1,1,1,1,1,1,1,FISH,1,0,0,1,0,0,0,1,1,0
BAL,1,1,Baleen_whales,Baleen whales,10,1,2,1,8,1,1,1,0,1,1,MAMMAL,1,0,0,1,0,0,0,0,1,0
BB,2,1,Sed_Bact,Sediment Bacteria,1,1,1,1,1,1,0,0,0,0,0,SED_BACT,0,0,0,0,0,0,0,0,0,0
BC,3,1,Benthic_Carniv,Benthic Carnivore,1,1,1,1,1,1,0,0,0,1,0,MOB_EP_OTHER,1,0,0,1,0,0,0,1,0,0
BD,4,1,Deposit_Feeder,Deposit Feeder,1,1,1,1,1,1,0,0,0,1,0,SED_EP_OTHER,1,0,0,1,0,0,0,0,0,0
BEE,5,1,Basketwork_eel,Basketwork eel,10,1,2,1,3,1,1,1,1,1,0,FISH,1,0,0,1,0,0,0,1,1,0
BFF,6,1,Filter_Other,Benthic filter feeder - non-comm,1,1,1,1,1,1,0,0,0,1,0,SED_EP_FF,1,1,0,1,0,0,0,1,0,0
BID,7,1,Ben_fish_deep,Benthic invertivores (deep),10,1,2,1,2,1,1,1,1,1,0,FISH,1,0,0,1,0,0,0,1,1,0
BIS,8,1,Ben_fish_shal,Benthic invertivores (shallow),10,1,2,1,1,1,1,1,1,1,0,FISH,1,0,0,1,0,0,0,1,1,0
BO,9,1,Meiobenth,Meiobenthos,1,1,1,1,1,1,0,0,0,0,0,MOB_EP_OTHER,1,0,0,0,0,0,0,1,0,0
BOE,10,1,Black_oreo,Black oreo,10,1,2,1,12,1,1,1,1,1,1,FISH,1,0,0,1,0,0,0,1,1,0
CBO,11,1,Bollons_rattail,Bollons' rattail,10,1,2,1,2,1,1,1,1,1,0,FISH,1,0,0,1,0,0,0,1,1,0
CEP,12,1,Cephalopod_other,Mesopelagic cephalopods,2,1,2,1,1,1,1,1,1,1,1,FISH,1,0,0,1,0,0,0,1,1,0
CET,13,1,Cetacean_other,Other cetaceans,10,1,2,1,3,1,1,1,0,1,1,MAMMAL,1,0,0,1,0,0,0,0,1,0
CRA,14,1,Rock_lobster,Rock_lobster,6,1,2,1,2,1,1,1,1,1,1,FISH,1,0,0,1,0,0,0,1,1,0
DC,15,1,Carrion,Carrion,1,1,1,1,1,1,0,0,0,0,0,CARRION,0,0,0,1,0,0,0,0,0,0
DF,16,1,DinoFlag,Dinoflagellates,1,1,1,1,1,1,0,0,0,0,0,DINOFLAG,1,0,0,1,0,0,0,0,0,0
DL,17,1,Lab_Det,Labile detritus,1,1,1,1,1,1,0,0,0,0,0,LAB_DET,0,0,0,1,0,0,0,0,0,0
DPI,18,1,Dem_fish_Pisc,Demersal piscivores,10,1,2,1,2,1,1,1,1,1,1,FISH,1,0,0,1,0,0,0,1,1,0
DR,19,1,Ref_Det,Refractory detritus,1,1,1,1,1,1,0,0,0,0,0,REF_DET,0,0,0,1,0,0,0,0,0,0
EID,20,1,Epiben_fish_deep,Epibenthic invertivores (deep),10,1,2,1,10,1,1,1,1,1,1,FISH,1,0,0,1,0,0,0,1,1,0
EIS,21,1,Epiben_fish_shal,Epibenthic invertivores (shallow),10,1,2,1,1,1,1,1,1,1,1,FISH,1,0,0,1,0,0,0,1,1,0
ELI,22,1,Elasmobranch_Invert ,Elasmobranchs - invertivores,10,1,2,1,2,1,1,1,1,1,1,SHARK,1,0,0,1,0,0,0,1,1,0
ELP,23,1,Elasmobranch_Pisc ,Elasmobranchs - piscivores,10,1,2,1,5,1,1,1,1,1,1,SHARK,1,0,0,1,0,0,0,0,1,0
